station_id,state,date,datatype,value
GHCND:USC00010063,AL,2020-02-14T00:00:00,TMAX,94
GHCND:USC00010063,AL,2020-02-14T00:00:00,TMIN,-50
GHCND:USC00010063,AL,2020-02-15T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-02-15T00:00:00,TMAX,44
GHCND:USC00010063,AL,2020-02-15T00:00:00,TMIN,-72
GHCND:USC00010063,AL,2020-02-16T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-02-16T00:00:00,TMAX,128
GHCND:USC00010063,AL,2020-02-16T00:00:00,TMIN,-56
GHCND:USC00010063,AL,2020-02-17T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-02-17T00:00:00,TMAX,128
GHCND:USC00010063,AL,2020-02-17T00:00:00,TMIN,22
GHCND:USC00010063,AL,2020-02-18T00:00:00,PRCP,15
GHCND:USC00010063,AL,2020-02-18T00:00:00,TMAX,133
GHCND:USC00010063,AL,2020-02-18T00:00:00,TMIN,22
GHCND:USC00010063,AL,2020-02-19T00:00:00,PRCP,371
GHCND:USC00010063,AL,2020-02-19T00:00:00,TMAX,161
GHCND:USC00010063,AL,2020-02-19T00:00:00,TMIN,56
GHCND:USC00010063,AL,2020-02-20T00:00:00,PRCP,94
GHCND:USC00010063,AL,2020-02-20T00:00:00,TMAX,89
GHCND:USC00010063,AL,2020-02-20T00:00:00,TMIN,39
GHCND:USC00010063,AL,2020-02-21T00:00:00,PRCP,185
GHCND:USC00010063,AL,2020-02-21T00:00:00,TMAX,39
GHCND:USC00010063,AL,2020-02-21T00:00:00,TMIN,-44
GHCND:USC00010063,AL,2020-02-22T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-02-22T00:00:00,TMAX,56
GHCND:USC00010063,AL,2020-02-22T00:00:00,TMIN,-67
GHCND:USC00010063,AL,2020-02-23T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-02-23T00:00:00,TMAX,117
GHCND:USC00010063,AL,2020-02-23T00:00:00,TMIN,-78
GHCND:USC00010063,AL,2020-02-24T00:00:00,PRCP,41
GHCND:USC00010063,AL,2020-02-24T00:00:00,TMAX,122
GHCND:USC00010063,AL,2020-02-24T00:00:00,TMIN,22
GHCND:USC00010063,AL,2020-02-25T00:00:00,PRCP,178
GHCND:USC00010063,AL,2020-02-25T00:00:00,TMAX,144
GHCND:USC00010063,AL,2020-02-25T00:00:00,TMIN,56
GHCND:USC00010063,AL,2020-02-26T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-02-26T00:00:00,TMAX,161
GHCND:USC00010063,AL,2020-02-26T00:00:00,TMIN,61
GHCND:USC00010063,AL,2020-02-27T00:00:00,PRCP,15
GHCND:USC00010063,AL,2020-02-27T00:00:00,TMAX,72
GHCND:USC00010063,AL,2020-02-27T00:00:00,TMIN,-33
GHCND:USC00010063,AL,2020-02-28T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-02-28T00:00:00,TMAX,89
GHCND:USC00010063,AL,2020-02-28T00:00:00,TMIN,-33
GHCND:USC00010063,AL,2020-02-29T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-02-29T00:00:00,TMAX,117
GHCND:USC00010063,AL,2020-02-29T00:00:00,TMIN,-17
GHCND:USC00010063,AL,2020-03-01T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-03-01T00:00:00,TMAX,139
GHCND:USC00010063,AL,2020-03-01T00:00:00,TMIN,11
GHCND:USC00010063,AL,2020-03-02T00:00:00,PRCP,157
GHCND:USC00010063,AL,2020-03-02T00:00:00,TMAX,178
GHCND:USC00010063,AL,2020-03-02T00:00:00,TMIN,33
GHCND:USC00010063,AL,2020-03-03T00:00:00,PRCP,99
GHCND:USC00010063,AL,2020-03-03T00:00:00,TMAX,172
GHCND:USC00010063,AL,2020-03-03T00:00:00,TMIN,100
GHCND:USC00010063,AL,2020-03-04T00:00:00,PRCP,18
GHCND:USC00010063,AL,2020-03-05T00:00:00,PRCP,102
GHCND:USC00010063,AL,2020-03-05T00:00:00,TMAX,211
GHCND:USC00010063,AL,2020-03-05T00:00:00,TMIN,89
GHCND:USC00010063,AL,2020-03-06T00:00:00,PRCP,117
GHCND:USC00010063,AL,2020-03-06T00:00:00,TMAX,133
GHCND:USC00010063,AL,2020-03-06T00:00:00,TMIN,44
GHCND:USC00010063,AL,2020-03-07T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-03-07T00:00:00,TMAX,133
GHCND:USC00010063,AL,2020-03-07T00:00:00,TMIN,-6
GHCND:USC00010063,AL,2020-03-08T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-03-09T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-03-09T00:00:00,TMAX,178
GHCND:USC00010063,AL,2020-03-09T00:00:00,TMIN,39
GHCND:USC00010063,AL,2020-03-10T00:00:00,PRCP,76
GHCND:USC00010063,AL,2020-03-10T00:00:00,TMAX,194
GHCND:USC00010063,AL,2020-03-10T00:00:00,TMIN,83
GHCND:USC00010063,AL,2020-03-11T00:00:00,PRCP,18
GHCND:USC00010063,AL,2020-03-11T00:00:00,TMAX,206
GHCND:USC00010063,AL,2020-03-11T00:00:00,TMIN,133
GHCND:USC00010063,AL,2020-03-12T00:00:00,PRCP,137
GHCND:USC00010063,AL,2020-03-12T00:00:00,TMAX,189
GHCND:USC00010063,AL,2020-03-12T00:00:00,TMIN,139
GHCND:USC00010063,AL,2020-03-13T00:00:00,PRCP,41
GHCND:USC00010063,AL,2020-03-13T00:00:00,TMAX,261
GHCND:USC00010063,AL,2020-03-14T00:00:00,PRCP,23
GHCND:USC00010063,AL,2020-03-14T00:00:00,TMAX,172
GHCND:USC00010063,AL,2020-03-14T00:00:00,TMIN,106
GHCND:USC00010063,AL,2020-03-15T00:00:00,PRCP,30
GHCND:USC00010063,AL,2020-03-15T00:00:00,TMAX,239
GHCND:USC00010063,AL,2020-03-15T00:00:00,TMIN,106
GHCND:USC00010063,AL,2020-03-16T00:00:00,PRCP,175
GHCND:USC00010063,AL,2020-03-16T00:00:00,TMAX,122
GHCND:USC00010063,AL,2020-03-16T00:00:00,TMIN,61
GHCND:USC00010063,AL,2020-03-17T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-03-17T00:00:00,TMAX,189
GHCND:USC00010063,AL,2020-03-17T00:00:00,TMIN,67
GHCND:USC00010063,AL,2020-03-18T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-03-18T00:00:00,TMAX,233
GHCND:USC00010063,AL,2020-03-18T00:00:00,TMIN,117
GHCND:USC00010063,AL,2020-03-19T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-03-19T00:00:00,TMAX,239
GHCND:USC00010063,AL,2020-03-19T00:00:00,TMIN,133
GHCND:USC00010063,AL,2020-03-20T00:00:00,PRCP,8
GHCND:USC00010063,AL,2020-03-20T00:00:00,TMAX,256
GHCND:USC00010063,AL,2020-03-20T00:00:00,TMIN,178
GHCND:USC00010063,AL,2020-03-21T00:00:00,PRCP,188
GHCND:USC00010063,AL,2020-03-21T00:00:00,TMAX,228
GHCND:USC00010063,AL,2020-03-21T00:00:00,TMIN,94
GHCND:USC00010063,AL,2020-03-22T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-03-22T00:00:00,TMAX,106
GHCND:USC00010063,AL,2020-03-22T00:00:00,TMIN,50
GHCND:USC00010063,AL,2020-03-23T00:00:00,PRCP,91
GHCND:USC00010063,AL,2020-03-23T00:00:00,TMAX,189
GHCND:USC00010063,AL,2020-03-23T00:00:00,TMIN,56
GHCND:USC00010063,AL,2020-03-24T00:00:00,PRCP,152
GHCND:USC00010063,AL,2020-03-24T00:00:00,TMAX,189
GHCND:USC00010063,AL,2020-03-24T00:00:00,TMIN,133
